Initialising...
Starting CloudSim version 3.0
Datacenter_0 is starting...
Datacenter_1 is starting...
Broker1 is starting...
Entities started.
0.0: Broker1: Cloud Resource List received with 2 resource(s)
0.0: Broker1: Trying to Create VM #4490 in Datacenter_0
0.0: Broker1: Trying to Create VM #875 in Datacenter_0
0.0: Broker1: Trying to Create VM #2984 in Datacenter_0
0.0: Broker1: Trying to Create VM #5122 in Datacenter_0
0.0: Broker1: Trying to Create VM #4866 in Datacenter_0
0.0: Broker1: Trying to Create VM #25 in Datacenter_0
0.0: Broker1: Trying to Create VM #3340 in Datacenter_0
0.0: Broker1: Trying to Create VM #2676 in Datacenter_0
0.0: Broker1: Trying to Create VM #3669 in Datacenter_0
0.0: Broker1: Trying to Create VM #4924 in Datacenter_0
0.0: Broker1: Trying to Create VM #4912 in Datacenter_0
0.0: Broker1: Trying to Create VM #1595 in Datacenter_0
0.0: Broker1: Trying to Create VM #5747 in Datacenter_0
0.0: Broker1: Trying to Create VM #4910 in Datacenter_0
0.0: Broker1: Trying to Create VM #4272 in Datacenter_0
0.0: Broker1: Trying to Create VM #2747 in Datacenter_0
0.0: Broker1: Trying to Create VM #60 in Datacenter_0
0.0: Broker1: Trying to Create VM #4568 in Datacenter_0
0.0: Broker1: Trying to Create VM #5086 in Datacenter_0
0.0: Broker1: Trying to Create VM #2174 in Datacenter_0
0.0: Broker1: Trying to Create VM #2714 in Datacenter_0
0.0: Broker1: Trying to Create VM #856 in Datacenter_0
0.0: Broker1: Trying to Create VM #3153 in Datacenter_0
0.0: Broker1: Trying to Create VM #3560 in Datacenter_0
0.0: Broker1: Trying to Create VM #5461 in Datacenter_0
0.0: Broker1: Trying to Create VM #4894 in Datacenter_0
0.0: Broker1: Trying to Create VM #3725 in Datacenter_0
0.0: Broker1: Trying to Create VM #5899 in Datacenter_0
0.0: Broker1: Trying to Create VM #5989 in Datacenter_0
0.0: Broker1: Trying to Create VM #2003 in Datacenter_0
0.0: Broker1: Trying to Create VM #1280 in Datacenter_0
0.0: Broker1: Trying to Create VM #308 in Datacenter_0
0.0: Broker1: Trying to Create VM #2718 in Datacenter_0
0.0: Broker1: Trying to Create VM #2282 in Datacenter_0
0.0: Broker1: Trying to Create VM #4357 in Datacenter_0
0.0: Broker1: Trying to Create VM #4986 in Datacenter_0
0.0: Broker1: Trying to Create VM #5509 in Datacenter_0
0.0: Broker1: Trying to Create VM #2735 in Datacenter_0
0.0: Broker1: Trying to Create VM #4748 in Datacenter_0
0.0: Broker1: Trying to Create VM #338 in Datacenter_0
0.0: Broker1: Trying to Create VM #858 in Datacenter_0
0.0: Broker1: Trying to Create VM #664 in Datacenter_0
0.0: Broker1: Trying to Create VM #5560 in Datacenter_0
0.0: Broker1: Trying to Create VM #1013 in Datacenter_0
0.0: Broker1: Trying to Create VM #3946 in Datacenter_0
