Initialising...
Starting CloudSim version 3.0
Datacenter_0 is starting...
Datacenter_1 is starting...
Broker1 is starting...
Entities started.
0.0: Broker1: Cloud Resource List received with 2 resource(s)
0.0: Broker1: Trying to Create VM #1331 in Datacenter_0
0.0: Broker1: Trying to Create VM #5989 in Datacenter_0
0.0: Broker1: Trying to Create VM #61 in Datacenter_0
0.0: Broker1: Trying to Create VM #3384 in Datacenter_0
0.0: Broker1: Trying to Create VM #1536 in Datacenter_0
0.0: Broker1: Trying to Create VM #3985 in Datacenter_0
0.0: Broker1: Trying to Create VM #5595 in Datacenter_0
0.0: Broker1: Trying to Create VM #1284 in Datacenter_0
0.0: Broker1: Trying to Create VM #5059 in Datacenter_0
0.0: Broker1: Trying to Create VM #3716 in Datacenter_0
0.0: Broker1: Trying to Create VM #493 in Datacenter_0
0.0: Broker1: Trying to Create VM #1278 in Datacenter_0
0.0: Broker1: Trying to Create VM #4576 in Datacenter_0
0.0: Broker1: Trying to Create VM #1577 in Datacenter_0
0.0: Broker1: Trying to Create VM #4121 in Datacenter_0
0.0: Broker1: Trying to Create VM #4828 in Datacenter_0
0.0: Broker1: Trying to Create VM #2506 in Datacenter_0
0.0: Broker1: Trying to Create VM #4432 in Datacenter_0
0.0: Broker1: Trying to Create VM #4437 in Datacenter_0
0.0: Broker1: Trying to Create VM #1149 in Datacenter_0
0.0: Broker1: Trying to Create VM #3943 in Datacenter_0
0.0: Broker1: Trying to Create VM #1343 in Datacenter_0
0.0: Broker1: Trying to Create VM #4896 in Datacenter_0
0.0: Broker1: Trying to Create VM #3217 in Datacenter_0
0.0: Broker1: Trying to Create VM #141 in Datacenter_0
0.0: Broker1: Trying to Create VM #5212 in Datacenter_0
0.0: Broker1: Trying to Create VM #5973 in Datacenter_0
0.0: Broker1: Trying to Create VM #2952 in Datacenter_0
0.0: Broker1: Trying to Create VM #1561 in Datacenter_0
0.0: Broker1: Trying to Create VM #4551 in Datacenter_0
0.0: Broker1: Trying to Create VM #2565 in Datacenter_0
0.0: Broker1: Trying to Create VM #3975 in Datacenter_0
0.0: Broker1: Trying to Create VM #4257 in Datacenter_0
0.0: Broker1: Trying to Create VM #3618 in Datacenter_0
0.0: Broker1: Trying to Create VM #5180 in Datacenter_0
0.0: Broker1: Trying to Create VM #4802 in Datacenter_0
0.0: Broker1: Trying to Create VM #3112 in Datacenter_0
0.0: Broker1: Trying to Create VM #3850 in Datacenter_0
0.0: Broker1: Trying to Create VM #1975 in Datacenter_0
0.0: Broker1: Trying to Create VM #2342 in Datacenter_0
0.0: Broker1: Trying to Create VM #4941 in Datacenter_0
0.0: Broker1: Trying to Create VM #3116 in Datacenter_0
0.0: Broker1: Trying to Create VM #5279 in Datacenter_0
0.0: Broker1: Trying to Create VM #5657 in Datacenter_0
0.0: Broker1: Trying to Create VM #671 in Datacenter_0
0.0: Broker1: Trying to Create VM #4244 in Datacenter_0
0.0: Broker1: Trying to Create VM #5264 in Datacenter_0
0.0: Broker1: Trying to Create VM #3174 in Datacenter_0
0.0: Broker1: Trying to Create VM #1582 in Datacenter_0
0.0: Broker1: Trying to Create VM #4008 in Datacenter_0
0.0: Broker1: Trying to Create VM #2959 in Datacenter_0
0.0: Broker1: Trying to Create VM #5106 in Datacenter_0
0.0: Broker1: Trying to Create VM #1388 in Datacenter_0
0.0: Broker1: Trying to Create VM #573 in Datacenter_0
0.0: Broker1: Trying to Create VM #1982 in Datacenter_0
0.0: Broker1: Trying to Create VM #2968 in Datacenter_0
0.0: Broker1: Trying to Create VM #2719 in Datacenter_0
0.0: Broker1: Trying to Create VM #5361 in Datacenter_0
0.0: Broker1: Trying to Create VM #2300 in Datacenter_0
0.0: Broker1: Trying to Create VM #49 in Datacenter_0
0.0: Broker1: Trying to Create VM #1461 in Datacenter_0
0.0: Broker1: Trying to Create VM #5265 in Datacenter_0
0.0: Broker1: Trying to Create VM #4198 in Datacenter_0
0.0: Broker1: Trying to Create VM #237 in Datacenter_0
0.0: Broker1: Trying to Create VM #457 in Datacenter_0
0.0: Broker1: Trying to Create VM #3531 in Datacenter_0
0.0: Broker1: Trying to Create VM #4824 in Datacenter_0
0.0: Broker1: Trying to Create VM #4389 in Datacenter_0
0.0: Broker1: Trying to Create VM #4436 in Datacenter_0
0.0: Broker1: Trying to Create VM #2569 in Datacenter_0
0.0: Broker1: Trying to Create VM #5888 in Datacenter_0
0.0: Broker1: Trying to Create VM #5898 in Datacenter_0
0.0: Broker1: Trying to Create VM #2125 in Datacenter_0
0.0: Broker1: Trying to Create VM #3877 in Datacenter_0
0.0: Broker1: Trying to Create VM #249 in Datacenter_0
0.0: Broker1: Trying to Create VM #5114 in Datacenter_0
0.0: Broker1: Trying to Create VM #4701 in Datacenter_0
0.0: Broker1: Trying to Create VM #3908 in Datacenter_0
0.0: Broker1: Trying to Create VM #961 in Datacenter_0
0.0: Broker1: Trying to Create VM #1939 in Datacenter_0
0.0: Broker1: Trying to Create VM #4729 in Datacenter_0
0.0: Broker1: Trying to Create VM #2568 in Datacenter_0
0.0: Broker1: Trying to Create VM #5646 in Datacenter_0
0.0: Broker1: Trying to Create VM #4026 in Datacenter_0
0.0: Broker1: Trying to Create VM #2621 in Datacenter_0
0.0: Broker1: Trying to Create VM #4019 in Datacenter_0
0.0: Broker1: Trying to Create VM #2271 in Datacenter_0
0.0: Broker1: Trying to Create VM #2123 in Datacenter_0
0.0: Broker1: Trying to Create VM #3849 in Datacenter_0
0.0: Broker1: Trying to Create VM #4327 in Datacenter_0
0.0: Broker1: Trying to Create VM #3715 in Datacenter_0
0.0: Broker1: Trying to Create VM #1865 in Datacenter_0
0.0: Broker1: Trying to Create VM #2556 in Datacenter_0
0.0: Broker1: Trying to Create VM #781 in Datacenter_0
0.0: Broker1: Trying to Create VM #1299 in Datacenter_0
0.0: Broker1: Trying to Create VM #1043 in Datacenter_0
0.0: Broker1: Trying to Create VM #1553 in Datacenter_0
0.0: Broker1: Trying to Create VM #2601 in Datacenter_0
0.0: Broker1: Trying to Create VM #5665 in Datacenter_0
0.0: Broker1: Trying to Create VM #921 in Datacenter_0
0.0: Broker1: Trying to Create VM #2678 in Datacenter_0
0.0: Broker1: Trying to Create VM #5650 in Datacenter_0
0.0: Broker1: Trying to Create VM #1195 in Datacenter_0
0.0: Broker1: Trying to Create VM #5408 in Datacenter_0
0.0: Broker1: Trying to Create VM #2604 in Datacenter_0
0.0: Broker1: Trying to Create VM #4414 in Datacenter_0
0.0: Broker1: Trying to Create VM #2958 in Datacenter_0
0.0: Broker1: Trying to Create VM #4359 in Datacenter_0
0.0: Broker1: Trying to Create VM #1385 in Datacenter_0
0.0: Broker1: Trying to Create VM #3383 in Datacenter_0
0.0: Broker1: Trying to Create VM #5701 in Datacenter_0
0.0: Broker1: Trying to Create VM #3194 in Datacenter_0
0.0: Broker1: Trying to Create VM #5082 in Datacenter_0
0.0: Broker1: Trying to Create VM #4586 in Datacenter_0
0.0: Broker1: Trying to Create VM #5644 in Datacenter_0
0.0: Broker1: Trying to Create VM #3155 in Datacenter_0
0.0: Broker1: Trying to Create VM #5952 in Datacenter_0
0.0: Broker1: Trying to Create VM #592 in Datacenter_0
0.0: Broker1: Trying to Create VM #2534 in Datacenter_0
0.0: Broker1: Trying to Create VM #4555 in Datacenter_0
0.0: Broker1: Trying to Create VM #5364 in Datacenter_0
0.0: Broker1: Trying to Create VM #4946 in Datacenter_0
0.0: Broker1: Trying to Create VM #2685 in Datacenter_0
0.0: Broker1: Trying to Create VM #4337 in Datacenter_0
0.0: Broker1: Trying to Create VM #5 in Datacenter_0
0.0: Broker1: Trying to Create VM #4462 in Datacenter_0
0.0: Broker1: Trying to Create VM #4314 in Datacenter_0
0.0: Broker1: Trying to Create VM #5479 in Datacenter_0
0.0: Broker1: Trying to Create VM #2041 in Datacenter_0
0.0: Broker1: Trying to Create VM #3780 in Datacenter_0
0.0: Broker1: Trying to Create VM #4817 in Datacenter_0
0.0: Broker1: Trying to Create VM #5692 in Datacenter_0
0.0: Broker1: Trying to Create VM #1508 in Datacenter_0
0.0: Broker1: Trying to Create VM #2199 in Datacenter_0
0.0: Broker1: Trying to Create VM #3414 in Datacenter_0
0.0: Broker1: Trying to Create VM #4237 in Datacenter_0
0.0: Broker1: Trying to Create VM #2098 in Datacenter_0
0.0: Broker1: Trying to Create VM #2365 in Datacenter_0
0.0: Broker1: Trying to Create VM #2622 in Datacenter_0
0.0: Broker1: Trying to Create VM #2877 in Datacenter_0
0.0: Broker1: Trying to Create VM #544 in Datacenter_0
0.0: Broker1: Trying to Create VM #284 in Datacenter_0
0.0: Broker1: Trying to Create VM #2593 in Datacenter_0
0.0: Broker1: Trying to Create VM #3036 in Datacenter_0
0.0: Broker1: Trying to Create VM #3410 in Datacenter_0
0.0: Broker1: Trying to Create VM #1472 in Datacenter_0
0.0: Broker1: Trying to Create VM #977 in Datacenter_0
0.0: Broker1: Trying to Create VM #139 in Datacenter_0
0.0: Broker1: Trying to Create VM #181 in Datacenter_0
0.0: Broker1: Trying to Create VM #3120 in Datacenter_0
0.0: Broker1: Trying to Create VM #400 in Datacenter_0
0.0: Broker1: Trying to Create VM #5018 in Datacenter_0
0.0: Broker1: Trying to Create VM #1054 in Datacenter_0
0.0: Broker1: Trying to Create VM #3549 in Datacenter_0
0.0: Broker1: Trying to Create VM #1632 in Datacenter_0
0.0: Broker1: Trying to Create VM #624 in Datacenter_0
0.0: Broker1: Trying to Create VM #2922 in Datacenter_0
0.0: Broker1: Trying to Create VM #3858 in Datacenter_0
0.0: Broker1: Trying to Create VM #1131 in Datacenter_0
0.0: Broker1: Trying to Create VM #4546 in Datacenter_0
0.0: Broker1: Trying to Create VM #250 in Datacenter_0
0.0: Broker1: Trying to Create VM #2542 in Datacenter_0
0.0: Broker1: Trying to Create VM #3153 in Datacenter_0
0.0: Broker1: Trying to Create VM #934 in Datacenter_0
0.0: Broker1: Trying to Create VM #3197 in Datacenter_0
0.0: Broker1: Trying to Create VM #4024 in Datacenter_0
0.0: Broker1: Trying to Create VM #4388 in Datacenter_0
0.0: Broker1: Trying to Create VM #5310 in Datacenter_0
0.0: Broker1: Trying to Create VM #2956 in Datacenter_0
0.0: Broker1: Trying to Create VM #5081 in Datacenter_0
0.0: Broker1: Trying to Create VM #3252 in Datacenter_0
0.0: Broker1: Trying to Create VM #1208 in Datacenter_0
0.0: Broker1: Trying to Create VM #4313 in Datacenter_0
0.0: Broker1: Trying to Create VM #2574 in Datacenter_0
0.0: Broker1: Trying to Create VM #480 in Datacenter_0
0.0: Broker1: Trying to Create VM #892 in Datacenter_0
0.0: Broker1: Trying to Create VM #2892 in Datacenter_0
0.0: Broker1: Trying to Create VM #331 in Datacenter_0
0.0: Broker1: Trying to Create VM #2455 in Datacenter_0
0.0: Broker1: Trying to Create VM #4792 in Datacenter_0
0.0: Broker1: Trying to Create VM #727 in Datacenter_0
0.0: Broker1: Trying to Create VM #4711 in Datacenter_0
0.0: Broker1: Trying to Create VM #768 in Datacenter_0
0.0: Broker1: Trying to Create VM #1408 in Datacenter_0
0.0: Broker1: Trying to Create VM #4090 in Datacenter_0
0.0: Broker1: Trying to Create VM #4136 in Datacenter_0
0.0: Broker1: Trying to Create VM #1081 in Datacenter_0
0.0: Broker1: Trying to Create VM #3268 in Datacenter_0
0.0: Broker1: Trying to Create VM #4517 in Datacenter_0
0.0: Broker1: Trying to Create VM #3409 in Datacenter_0
0.0: Broker1: Trying to Create VM #881 in Datacenter_0
