Initialising...
Starting CloudSim version 3.0
Datacenter_0 is starting...
Datacenter_1 is starting...
Broker1 is starting...
Entities started.
0.0: Broker1: Cloud Resource List received with 2 resource(s)
0.0: Broker1: Trying to Create VM #173 in Datacenter_0
0.0: Broker1: Trying to Create VM #90 in Datacenter_0
0.0: Broker1: Trying to Create VM #183 in Datacenter_0
0.0: Broker1: Trying to Create VM #572 in Datacenter_0
0.0: Broker1: Trying to Create VM #38 in Datacenter_0
0.0: Broker1: Trying to Create VM #43 in Datacenter_0
0.0: Broker1: Trying to Create VM #404 in Datacenter_0
0.0: Broker1: Trying to Create VM #450 in Datacenter_0
0.0: Broker1: Trying to Create VM #277 in Datacenter_0
0.0: Broker1: Trying to Create VM #73 in Datacenter_0
0.0: Broker1: Trying to Create VM #297 in Datacenter_0
0.0: Broker1: Trying to Create VM #130 in Datacenter_0
0.0: Broker1: Trying to Create VM #357 in Datacenter_0
0.0: Broker1: Trying to Create VM #529 in Datacenter_0
0.0: Broker1: Trying to Create VM #393 in Datacenter_0
0.0: Broker1: Trying to Create VM #146 in Datacenter_0
0.0: Broker1: Trying to Create VM #525 in Datacenter_0
0.0: Broker1: Trying to Create VM #402 in Datacenter_0
0.0: Broker1: Trying to Create VM #372 in Datacenter_0
0.0: Broker1: Trying to Create VM #571 in Datacenter_0
0.0: Broker1: Trying to Create VM #307 in Datacenter_0
0.0: Broker1: Trying to Create VM #440 in Datacenter_0
0.0: Broker1: Trying to Create VM #415 in Datacenter_0
0.0: Broker1: Trying to Create VM #461 in Datacenter_0
0.0: Broker1: Trying to Create VM #6 in Datacenter_0
0.0: Broker1: Trying to Create VM #193 in Datacenter_0
0.0: Broker1: Trying to Create VM #475 in Datacenter_0
0.0: Broker1: Trying to Create VM #409 in Datacenter_0
0.0: Broker1: Trying to Create VM #140 in Datacenter_0
0.0: Broker1: Trying to Create VM #499 in Datacenter_0
0.0: Broker1: Trying to Create VM #373 in Datacenter_0
0.0: Broker1: Trying to Create VM #411 in Datacenter_0
0.0: Broker1: Trying to Create VM #272 in Datacenter_0
0.0: Broker1: Trying to Create VM #32 in Datacenter_0
0.0: Broker1: Trying to Create VM #314 in Datacenter_0
0.0: Broker1: Trying to Create VM #152 in Datacenter_0
0.0: Broker1: Trying to Create VM #253 in Datacenter_0
0.0: Broker1: Trying to Create VM #77 in Datacenter_0
0.0: Broker1: Trying to Create VM #81 in Datacenter_0
0.0: Broker1: Trying to Create VM #290 in Datacenter_0
0.0: Broker1: Trying to Create VM #241 in Datacenter_0
0.0: Broker1: Trying to Create VM #483 in Datacenter_0
0.0: Broker1: Trying to Create VM #538 in Datacenter_0
0.0: Broker1: Trying to Create VM #162 in Datacenter_0
0.0: Broker1: Trying to Create VM #28 in Datacenter_0
0.0: Broker1: Trying to Create VM #50 in Datacenter_0
0.0: Broker1: Trying to Create VM #326 in Datacenter_0
0.0: Broker1: Trying to Create VM #42 in Datacenter_0
0.0: Broker1: Trying to Create VM #304 in Datacenter_0
0.0: Broker1: Trying to Create VM #1 in Datacenter_0
0.0: Broker1: Trying to Create VM #423 in Datacenter_0
0.0: Broker1: Trying to Create VM #55 in Datacenter_0
0.0: Broker1: Trying to Create VM #512 in Datacenter_0
0.0: Broker1: Trying to Create VM #564 in Datacenter_0
0.0: Broker1: Trying to Create VM #431 in Datacenter_0
0.0: Broker1: Trying to Create VM #167 in Datacenter_0
0.0: Broker1: Trying to Create VM #593 in Datacenter_0
0.0: Broker1: Trying to Create VM #594 in Datacenter_0
0.0: Broker1: Trying to Create VM #394 in Datacenter_0
0.0: Broker1: Trying to Create VM #235 in Datacenter_0
0.0: Broker1: Trying to Create VM #13 in Datacenter_0
0.0: Broker1: Trying to Create VM #582 in Datacenter_0
0.0: Broker1: Trying to Create VM #268 in Datacenter_0
0.0: Broker1: Trying to Create VM #588 in Datacenter_0
0.0: Broker1: Trying to Create VM #487 in Datacenter_0
0.0: Broker1: Trying to Create VM #535 in Datacenter_0
0.0: Broker1: Trying to Create VM #123 in Datacenter_0
0.0: Broker1: Trying to Create VM #199 in Datacenter_0
0.0: Broker1: Trying to Create VM #60 in Datacenter_0
0.0: Broker1: Trying to Create VM #192 in Datacenter_0
0.0: Broker1: Trying to Create VM #581 in Datacenter_0
0.0: Broker1: Trying to Create VM #120 in Datacenter_0
0.0: Broker1: Trying to Create VM #226 in Datacenter_0
0.0: Broker1: Trying to Create VM #434 in Datacenter_0
